emotione_category,word,odds
0,great,41.8
0,awesome,31.18
0,amazing,29.65
0,good,26.87
0,beautiful,22.87
0,nice,20.57
0,appreciate,17.56
0,cute,17.55
0,best,17.26
0,pretty,13.86
0,fantastic,13.15
0,cool,10.94
0,excellent,10.83
0,brilliant,9.96
0,adorable,9.89
0,wonderful,9.85
0,incredible,9.79
0,job,9.77
0,gorgeous,9.58
0,impressive,9.55
0,wow,9.23
0,looks,8.41
0,perfect,8.2
0,congrats,8.17
0,handsome,7.9
0,such,7.7
0,impressed,7.66
0,appreciated,7.36
0,genius,7.23
0,congratulations,7.21
0,interesting,7.18
0,proud,6.85
0,sweet,6.6
0,very,6.53
0,favorite,6.49
0,delicious,6.42
0,sexy,6.21
0,legend,6.15
0,super,6.14
0,stunning,6.05
0,brave,5.56
0,glorious,5.35
0,this,5.35
0,ever,5.23
0,really,5.18
0,greatest,5.13
0,beauty,5.13
0,art,4.89
0,applaud,4.82
0,honesty,4.81
0,idea,4.7
0,nailed,4.49
0,smart,4.41
0,performances,4.41
0,neat,4.34
0,look,4.31
0,smarter,4.29
0,talented,4.26
0,lovely,4.18
0,cutie,4.15
0,clever,4.13
0,truly,4.08
0,love,4.05
0,movie,4.04
0,gesture,3.96
0,one,3.94
0,hero,3.89
0,patience,3.89
0,lit,3.88
0,artwork,3.88
0,cutest,3.84
0,outstanding,3.83
0,soundtrack,3.77
0,breakers,3.74
0,satisfying,3.64
0,cinematic,3.54
0,absolutely,3.52
0,story,3.5
0,dedication,3.49
0,amazingly,3.47
0,treasure,3.47
0,salute,3.44
0,admire,3.44
0,album,3.41
0,respect,3.4
0,praise,3.39
0,beacon,3.39
0,majestic,3.39
0,photo,3.38
0,courage,3.37
0,delightful,3.37
0,beautifully,3.36
0,famous,3.36
0,movies,3.35
0,props,3.34
0,charming,3.32
0,favourite,3.32
0,perfectly,3.31
0,sweetest,3.31
0,visualization,3.28
0,pilgrim,3.28
0,dashing,3.28
0,novo,3.28
0,skater,3.28
0,circlejerking,3.28
0,x65,3.28
0,litchfield,3.28
0,wholesome,3.27
0,game,3.26
0,talent,3.25
0,film,3.25
0,legendary,3.25
0,seen,3.24
0,nonetheless,3.24
0,cuteness,3.23
0,loved,3.22
0,played,3.21
0,well,3.21
0,downtown,3.21
0,greatly,3.19
0,sounds,3.18
0,appreciation,3.18
0,binged,3.16
0,stud,3.15
0,pic,3.14
0,bestest,3.11
0,admired,3.11
0,prettiest,3.11
0,summed,3.09
0,rogue,3.09
0,simpsons,3.07
0,admirable,3.06
0,work,3.03
0,sir,3.03
0,done,3.02
0,winner,3.02
0,informative,3.01
0,museum,3.01
1,lol,65.47
1,haha,32.19
1,funny,26.68
1,lmao,20.18
1,hilarious,18.42
1,fun,16.92
1,hahaha,15.62
1,laugh,14.26
1,laughed,12.98
1,joke,12.25
1,laughing,9.67
1,hahahaha,7.47
1,funnier,7.09
1,hahah,6.41
1,funniest,6.26
1,hehe,5.55
1,joking,5.51
1,hahahah,5.23
1,nike,5.12
1,entertaining,4.56
1,kidding,4.5
1,jokes,4.38
1,loud,4.37
1,chuckle,4.2
1,lmfao,4.18
1,hahahahaha,4.13
1,amusing,3.72
1,made,3.69
1,laughable,3.56
1,ahahaha,3.56
1,actually,3.47
1,hah,3.44
1,antis,3.4
1,gnt,3.4
1,lolz,3.4
1,asain,3.4
1,brazzers,3.4
1,wtaf,3.4
1,themes,3.4
1,hahahahahaha,3.38
1,lmaooo,3.22
1,rofl,3.21
1,giggled,3.21
1,ahaha,3.18
1,stbxh,3.04
1,bahahaha,3.04
1,buncha,3.04
1,stares,3.04
1,giggling,3.04
1,lool,3.03
1,duke,3.03
1,pear,3.03
1,cemetery,3.03
1,bargaining,3.03
1,lmaoo,3.03
2,fuck,23.22
2,hate,17.37
2,fucking,16.97
2,angry,10.82
2,dare,10.25
2,shut,7.6
2,stupid,7.21
2,hell,6.67
2,idiot,6.37
2,asshole,6.14
2,bitch,6.08
2,shit,5.92
2,infuriating,5.74
2,fucked,5.72
2,motherfucker,5.55
2,motherfucking,5.55
2,wtf,5.47
2,bastard,5.29
2,nike,5.23
2,bastards,4.65
2,bullshit,4.57
2,moron,4.1
2,irrationally,4.09
2,anger,4.07
2,stop,4.06
2,damn,4.03
2,fuuuuck,3.94
2,kill,3.87
2,cunts,3.81
2,fuckin,3.78
2,haters,3.66
2,aggressively,3.66
2,bloody,3.65
2,frustrating,3.64
2,extradition,3.45
2,swiped,3.45
2,kick,3.45
2,sucks,3.45
2,rude,3.44
2,fucken,3.34
2,burn,3.32
2,aggressive,3.26
2,whore,3.26
2,you,3.25
2,hated,3.24
2,suck,3.23
2,rapist,3.17
2,rape,3.13
2,ants,3.09
2,fuckkkkk,3.09
2,fuuuck,3.09
2,off,3.07
2,cruel,3.02
3,annoying,14.32
3,stupid,12.72
3,fucking,11.77
3,shit,9.11
3,dumb,8.69
3,frustrating,8.06
3,idiot,7.88
3,annoyed,7.66
3,fuck,7.54
3,damn,7.38
3,sucks,7.04
3,pissed,6.59
3,idiots,6.15
3,ridiculous,5.86
3,hate,5.66
3,asshole,5.54
3,hell,5.35
3,irritating,4.97
3,stop,4.96
3,bullshit,4.84
3,disturbing,4.83
3,nonsense,4.7
3,weird,4.62
3,fool,4.55
3,shut,4.54
3,bitch,4.51
3,childish,4.47
3,sucked,4.43
3,assholes,4.37
3,people,4.23
3,shithead,3.95
3,piss,3.94
3,accuse,3.91
3,annoy,3.8
3,insulting,3.78
3,dumbass,3.77
3,eyebrow,3.76
3,brazen,3.76
3,douchebag,3.61
3,moron,3.61
3,annoys,3.61
3,crap,3.56
3,selfish,3.54
3,seriously,3.53
3,shitposts,3.53
3,reckless,3.53
3,horseshit,3.5
3,don,3.47
3,fucked,3.43
3,intolerance,3.39
3,sb2,3.33
3,feigning,3.33
3,detectives,3.33
3,baiting,3.33
3,countdown,3.33
3,imbecile,3.33
3,grosses,3.33
3,tyrants,3.33
3,romanian,3.33
3,envoy,3.33
3,fumbles,3.33
3,peta,3.31
3,irritated,3.3
3,aloof,3.26
3,mug,3.24
3,bastard,3.23
3,romance,3.23
3,prick,3.22
3,annoyance,3.16
3,nasty,3.16
3,discrimination,3.14
3,sloppy,3.13
3,dice,3.09
3,insufferable,3.08
3,lame,3.06
3,cowards,3.06
3,ignorance,3.04
3,worse,3.04
3,being,3.02
3,blamed,3.02
3,arguing,3.02
3,rude,3.01
4,agree,24.39
4,not,12.37
4,don,11.42
4,agreed,11.37
4,true,11.16
4,yes,11.12
4,yeah,8.46
4,disagree,8.35
4,right,7.73
4,doesn,7.13
4,wrong,7.01
4,nope,6.75
4,but,6.47
4,correct,6.26
4,fair,6.05
4,think,6.01
4,believe,5.88
4,exactly,5.79
4,nah,5.76
4,yep,5.47
4,definitely,5.28
4,sure,5.24
4,unpopular,5.23
4,fine,5.11
4,accurate,4.57
4,illegal,4.42
4,unacceptable,4.39
4,sense,4.34
4,prefer,4.29
4,gear,4.25
4,opinion,4.2
4,equal,4.18
4,isn,3.98
4,incorrect,3.96
4,completely,3.94
4,violating,3.94
4,traits,3.87
4,deal,3.86
4,irrelevant,3.86
4,with,3.85
4,anything,3.84
4,unh,3.84
4,recommend,3.76
4,accept,3.74
4,dull,3.71
4,abortions,3.62
4,gucci,3.57
4,understandable,3.56
4,refuse,3.56
4,aimed,3.55
4,downvoted,3.5
4,however,3.47
4,kabhi,3.43
4,can,3.39
4,therefore,3.35
4,ditto,3.34
4,amend,3.31
4,good,3.31
4,authority,3.3
4,unreliable,3.28
4,that,3.28
4,upvoted,3.27
4,fewer,3.27
4,totally,3.27
4,point,3.26
4,way,3.26
4,rights,3.26
4,problems,3.25
4,ads,3.25
4,argument,3.23
4,bad,3.2
4,deprecating,3.19
4,shouldn,3.19
4,deserve,3.19
4,factor,3.17
4,enough,3.16
4,romance,3.15
4,relevant,3.14
4,favoured,3.13
4,authorities,3.13
4,rig,3.13
4,baiting,3.13
4,obj,3.13
4,saquon,3.13
4,undocumented,3.13
4,skybound,3.13
4,envoy,3.13
4,useful,3.11
4,sexual,3.1
4,absolutely,3.08
4,fully,3.05
4,want,3.05
5,you,11.26
5,worry,10.87
5,careful,8.91
5,stay,8.48
5,your,7.99
5,bless,7.97
5,yourself,7.6
5,help,7.14
5,luck,7.08
5,safe,7.03
5,concerned,6.41
5,care,5.74
5,strong,5.69
5,better,4.96
5,pray,4.84
5,praying,4.33
5,outlive,4.25
5,need,3.97
5,get,3.92
5,don,3.81
5,calm,3.71
5,please,3.7
5,hope,3.69
5,sins,3.69
5,best,3.68
5,feel,3.66
5,protect,3.64
5,happyfriendlybot,3.6
5,worries,3.48
5,okay,3.47
5,keep,3.46
5,therapy,3.44
5,take,3.38
5,suggest,3.22
5,move,3.17
5,good,3.16
5,life,3.12
6,confused,18.48
6,why,10.55
6,sure,9.73
6,what,9.3
6,confusing,7.54
6,understand,7.31
6,idk,6.71
6,don,6.48
6,know,6.15
6,confusion,5.74
6,doubt,5.15
6,maybe,5.14
6,idea,5.09
6,not,4.91
6,how,4.87
6,clue,4.0
6,doubtful,3.86
6,mice,3.74
6,puzzled,3.62
6,metaphors,3.45
6,sephardic,3.45
6,causalchildabuse,3.45
6,beirt,3.45
6,did,3.36
6,unsure,3.32
6,oooh,3.29
6,confuses,3.27
6,does,3.23
6,weeb,3.1
6,razors,3.09
6,conditioner,3.09
6,feints,3.09
6,scope,3.01
7,curious,22.34
7,what,17.84
7,why,12.8
7,how,10.71
7,did,10.15
7,curiosity,9.38
7,does,8.81
7,you,8.03
7,where,6.55
7,interesting,6.06
7,are,5.83
7,elaborate,5.18
7,wondering,4.94
7,explain,4.64
7,wait,4.58
7,anyone,4.49
7,wonder,4.34
7,who,3.92
7,any,3.71
7,link,3.64
7,question,3.57
7,mean,3.49
7,sniff,3.43
7,sb2,3.39
7,bojangles,3.39
7,causalchildabuse,3.39
7,rny,3.39
7,themes,3.39
7,beirt,3.39
7,envoy,3.39
7,happened,3.33
7,know,3.29
7,featured,3.21
7,would,3.16
7,oooh,3.12
7,shooters,3.06
7,theocracy,3.03
7,helmets,3.03
7,bitrate,3.03
7,miner,3.03
7,precedence,3.03
7,newsroom,3.03
7,transporting,3.03
7,crit,3.02
7,razors,3.02
8,wish,29.04
8,want,7.91
8,wanted,5.34
8,could,5.28
8,ambitious,4.31
8,hope,3.92
8,dream,3.75
8,need,3.29
8,wanna,3.16
8,bdsm,3.15
9,disappointing,10.57
9,disappointed,9.71
9,bad,8.16
9,disappointment,7.46
9,unfortunately,6.59
9,upset,6.11
9,depressing,6.06
9,miss,5.49
9,upsetting,5.2
9,lost,5.01
9,missed,5.01
9,disaster,4.6
9,hurt,3.87
9,tried,3.75
9,disappoints,3.62
9,sword,3.58
9,rtts,3.45
9,dupont,3.45
9,bournemouth,3.09
9,dissapointed,3.09
9,boring,3.02
9,worst,3.02
4,not,14.93
4,don,12.73
4,disagree,8.32
4,nope,7.74
4,doesn,6.74
4,wrong,6.33
4,nah,5.88
4,unpopular,5.58
4,isn,4.67
4,refuse,4.38
4,unh,4.15
4,downvoted,4.04
4,illegal,4.04
4,dont,4.0
4,bad,3.97
4,think,3.86
4,irrelevant,3.85
4,unacceptable,3.78
4,incorrect,3.76
4,shouldn,3.62
4,gear,3.58
4,ads,3.47
4,dull,3.47
4,intentionally,3.46
4,violating,3.43
4,authorities,3.39
4,baiting,3.39
4,undocumented,3.39
4,skybound,3.39
4,false,3.36
4,anything,3.31
4,treatment,3.27
4,distasteful,3.21
4,provide,3.18
4,traits,3.07
4,fake,3.04
4,hate,3.03
4,bds,3.03
4,ladders,3.03
4,patently,3.03
4,recreate,3.03
4,starve,3.03
4,att,3.03
4,superficially,3.03
4,applauded,3.03
4,believe,3.03
4,spiked,3.01
4,disrespected,3.01
4,jokic,3.01
4,matinee,3.01
4,jailor,3.01
11,disgusting,22.53
11,awful,13.25
11,worst,12.03
11,worse,11.59
11,weird,7.92
11,nasty,7.32
11,disgusted,5.46
11,ugly,5.23
11,creepy,4.97
11,gross,4.71
11,horrible,4.02
11,disgust,3.9
11,yuck,3.67
11,terrible,3.52
11,eww,3.51
11,baiting,3.51
11,brazzers,3.51
11,repulsive,3.42
11,hideous,3.41
11,smells,3.26
11,ugh,3.17
11,ants,3.16
11,mattresses,3.14
12,embarrassing,12.04
12,shame,10.31
12,awkward,10.29
12,embarrassment,8.15
12,embarrassed,7.26
12,ashamed,7.16
12,shameful,3.83
12,embarassed,3.72
12,embarassing,3.72
12,oops,3.6
12,embarrass,3.21
12,juuls,3.21
12,secondhand,3.18
13,excited,20.64
13,happy,7.93
13,cake,7.78
13,wow,7.53
13,exciting,6.64
13,interesting,6.61
13,wait,6.17
13,birthday,5.34
13,merrily,4.98
13,yay,4.38
13,excitement,4.26
13,new,4.18
13,interested,4.15
13,omg,3.91
13,day,3.91
13,stoked,3.85
13,cakeday,3.71
13,cheers,3.53
13,hurrah,3.52
13,outstanding,3.43
13,titans,3.34
13,oatmeal,3.17
13,gucci,3.17
13,enthused,3.15
13,enthusiastic,3.15
13,exited,3.15
14,scared,15.76
14,afraid,15.25
14,scary,14.79
14,terrible,11.08
14,terrifying,10.91
14,fear,9.79
14,horrible,8.29
14,terrified,6.91
14,scares,6.65
14,dangerous,6.56
14,horrifying,6.23
14,cringe,5.54
14,worried,5.36
14,creepy,4.97
14,scariest,4.73
14,panic,4.55
14,horror,4.33
14,nightmare,4.06
14,dreadful,3.93
14,scare,3.53
14,horrific,3.53
14,dangerously,3.45
14,frightening,3.3
14,fears,3.03
15,thanks,74.75
15,thank,68.29
15,for,23.36
15,you,17.36
15,sharing,16.98
15,appreciate,15.25
15,welcome,11.95
15,congrats,10.95
15,advice,10.82
15,info,9.85
15,much,8.51
15,glad,8.09
15,clarification,7.91
15,input,7.81
15,helpful,7.77
15,feedback,6.58
15,thankfully,6.57
15,congratulations,6.53
15,recommendation,6.38
15,explaining,6.33
15,thankful,6.22
15,reply,5.96
15,clarifying,5.91
15,appreciated,5.62
15,luck,5.57
15,thx,5.54
15,tip,5.36
15,posting,5.11
15,insight,5.02
15,response,4.79
15,kindly,4.77
15,good,4.74
15,very,4.72
15,your,4.66
15,sir,4.59
15,words,4.5
15,correcting,4.48
15,suggestion,4.47
15,encouragement,4.38
15,informative,4.31
15,perspective,4.23
15,thankyou,4.16
15,try,4.03
15,needed,4.0
15,greatly,3.99
15,correction,3.97
15,appreciation,3.85
15,answering,3.84
15,clearing,3.8
15,okay,3.74
15,detailed,3.72
15,heads,3.71
15,goodness,3.7
15,reminding,3.69
15,explanation,3.65
15,stranger,3.64
15,helps,3.62
15,journey,3.56
15,saved,3.54
15,confirming,3.42
15,reminder,3.33
15,check,3.32
15,laugh,3.31
15,suggestions,3.27
15,tips,3.25
15,enlightening,3.22
15,sense,3.18
15,consideration,3.13
15,letting,3.13
15,affirmation,3.04
15,roger,3.04
15,clearest,3.04
15,supermodel,3.04
15,blessings,3.04
16,died,5.85
16,rip,4.33
17,happy,30.85
17,glad,26.28
17,enjoy,19.1
17,enjoyed,11.45
17,fun,11.36
17,cheers,9.09
17,cake,8.64
17,joy,7.47
17,enjoying,7.46
17,day,6.48
17,happily,5.47
17,birthday,5.22
17,smile,4.97
17,merrily,4.9
17,enjoyable,4.83
17,happiest,4.38
17,cheered,4.37
17,made,4.26
17,cakeday,3.97
17,happiness,3.95
17,makes,3.88
17,pleasure,3.83
17,happier,3.77
17,gladly,3.77
17,good,3.5
17,paycheck,3.46
17,bunny,3.35
17,finally,3.25
17,hear,3.16
17,congrats,3.13
17,gucci,3.11
17,cubes,3.1
17,bistro,3.1
17,favourite,3.06
18,love,75.16
18,loved,20.99
18,favorite,12.17
18,loves,11.72
18,loving,8.78
18,like,8.63
18,lovely,5.61
18,cute,4.92
18,name,4.79
18,favourite,4.67
18,username,4.56
18,this,4.33
18,scents,4.33
18,favorites,3.97
18,crush,3.86
18,chiiiiika,3.75
18,valentine,3.7
18,style,3.63
18,song,3.55
18,fav,3.54
18,liked,3.52
18,unconditional,3.46
18,4am,3.42
18,pilgrim,3.42
18,stitch,3.42
18,x65,3.42
18,gotta,3.32
18,koji,3.25
18,and,3.11
18,brotherly,3.06
18,fricking,3.06
18,ceremony,3.06
18,snuggling,3.06
18,labs,3.06
18,scott,3.06
18,delivers,3.06
18,mocks,3.06
18,sweet,3.05
18,much,3.03
19,nervous,8.13
19,worried,7.28
19,anxiety,5.93
19,anxious,3.91
19,worrying,3.53
19,demonize,3.31
20,hope,44.71
20,hopefully,18.45
20,luck,17.98
20,hoping,15.52
20,will,7.7
20,good,7.61
20,soon,7.5
20,better,6.0
20,wish,5.09
20,hopeful,4.67
20,future,4.54
20,confident,4.53
20,next,4.19
20,best,3.99
20,you,3.96
20,get,3.81
20,find,3.72
20,would,3.65
20,goes,3.64
20,someday,3.48
20,pours,3.43
20,abram,3.43
20,recovers,3.43
20,natal,3.43
20,paycheck,3.43
20,gets,3.37
20,probably,3.25
20,tomorrow,3.24
20,try,3.13
20,happyfriendlybot,3.11
20,prosperous,3.07
20,lasting,3.07
20,cheer,3.03
21,proud,13.59
21,pride,3.91
21,accomplishment,3.58
22,realize,13.87
22,realized,12.12
22,realised,7.16
22,realization,6.01
22,thought,5.37
22,forgot,4.99
22,was,4.93
22,didn,4.92
22,realizing,4.91
22,reminds,4.79
22,noticed,4.56
22,realise,4.21
22,aware,3.79
22,brazzers,3.48
22,olden,3.48
22,wired,3.46
22,until,3.37
22,colonizes,3.3
22,figured,3.26
22,trimming,3.11
22,husky,3.11
22,vacuums,3.11
23,glad,4.45
23,relieving,4.07
23,relieved,3.95
23,relief,3.92
24,sorry,37.65
24,regret,8.8
24,apologies,6.71
24,apologize,5.81
24,guilt,4.45
24,guilty,3.92
24,loss,3.73
24,regretting,3.19
24,remorse,3.16
25,sad,30.33
25,sadly,15.25
25,sorry,15.1
25,painful,9.7
25,hurts,9.21
25,crying,8.93
25,miss,8.24
25,heartbreaking,6.92
25,cry,6.77
25,loss,6.65
25,saddest,6.58
25,sadness,6.29
25,feel,6.28
25,poor,6.26
25,bad,5.82
25,pain,5.63
25,lonely,5.6
25,hurting,4.65
25,hurt,4.33
25,stressful,3.9
25,unfortunately,3.87
25,cried,3.86
25,tears,3.85
25,heartbroken,3.79
25,sick,3.73
25,painfully,3.63
25,lost,3.61
25,hard,3.5
25,shinys,3.47
25,fuzzy,3.47
25,womp,3.47
25,deprived,3.47
25,depressing,3.45
25,pathetic,3.24
25,heartwarming,3.11
25,soulmates,3.1
25,teared,3.1
25,broke,3.09
25,suffering,3.04
25,disheartening,3.01
26,wow,21.4
26,surprised,21.16
26,wonder,14.38
26,shocked,12.2
26,omg,10.45
26,wondering,8.84
26,surprise,8.43
26,surprising,6.24
26,believe,5.99
26,wondered,5.99
26,shocking,5.88
26,unexpected,5.71
26,surprisingly,5.49
26,shockingly,5.37
26,ohhhhh,4.69
26,pleasantly,4.68
26,unbelievable,4.3
26,suprised,3.95
26,amazed,3.76
26,didn,3.74
26,surprises,3.73
26,woah,3.71
26,holy,3.62
26,lille,3.49
26,amaze,3.39
26,shocks,3.32
26,shock,3.3
26,was,3.19
26,nobel,3.14
26,verb,3.14
26,amazes,3.14
26,tiki,3.12
26,strange,3.07
26,god,3.01
27,name,19.15
27,they,16.21
27,the,9.39
27,remindme,7.52
27,his,7.42
27,she,7.11
27,only,6.25
27,from,5.87
27,there,5.84
27,wall,5.31
27,left,5.28
27,their,5.24
27,needs,4.97
27,then,4.85
27,rather,4.83
27,who,4.8
27,after,4.76
27,according,4.74
27,hundred,4.7
27,political,4.68
27,hello,4.65
27,should,4.58
27,her,4.56
27,said,4.55
27,money,4.51
27,apparently,4.43
27,socialism,4.43
27,weaker,4.37
27,mavs,4.37
27,let,4.34
27,and,4.33
27,other,4.3
27,send,4.27
27,sees,4.26
27,off,4.26
27,activists,4.25
27,says,4.21
27,likely,4.2
27,were,4.18
27,treason,4.14
27,owns,4.1
27,probably,4.1
27,wants,4.09
27,first,4.05
27,leave,4.04
27,police,4.01
27,knows,3.99
27,hagar,3.95
27,saying,3.94
27,cross,3.93
27,mean,3.93
27,branch,3.91
27,door,3.89
27,normie,3.87
27,blah,3.87
27,script,3.85
27,him,3.83
27,theories,3.82
27,etc,3.8
27,ask,3.8
27,bag,3.77
27,pin,3.75
27,windshield,3.75
27,depends,3.7
27,sammy,3.7
27,aids,3.67
27,tendencies,3.62
27,reason,3.61
27,rare,3.6
27,called,3.6
27,pulled,3.59
27,under,3.58
27,few,3.56
27,demonstrate,3.55
27,has,3.53
27,forums,3.53
27,guaranteed,3.53
27,various,3.52
27,not,3.51
27,major,3.51
27,basically,3.5
27,burns,3.45
27,prevent,3.45
27,hash,3.44
27,reserved,3.44
27,relic,3.44
27,back,3.37
27,beating,3.36
27,present,3.35
27,distribution,3.35
27,calm,3.34
27,report,3.34
27,down,3.33
27,matter,3.33
27,syrian,3.31
27,cave,3.31
27,tax,3.3
27,mafia,3.3
27,filming,3.3
27,tbf,3.29
27,married,3.29
27,extreme,3.29
27,evolution,3.29
27,invite,3.29
27,instead,3.28
27,days,3.27
27,including,3.27
27,screenshot,3.26
27,way,3.26
27,hacks,3.25
27,bribe,3.25
27,pastor,3.25
27,announcement,3.25
27,whale,3.25
27,which,3.23
27,gender,3.23
27,rudy,3.22
27,tea,3.21
27,rick,3.21
27,systems,3.21
27,commie,3.2
27,meanwhile,3.2
27,net,3.19
27,fyi,3.17
27,links,3.17
27,websites,3.17
27,dodgy,3.17
27,leaving,3.17
27,note,3.16
27,billion,3.16
27,shattered,3.16
27,acknowledging,3.16
27,manhattan,3.16
27,feb,3.16
27,thesaurus,3.16
27,fedora,3.16
27,har,3.16
27,lobby,3.16
27,rounder,3.15
27,mac,3.15
27,edge,3.14
27,bitcoin,3.14
27,nobody,3.14
27,opponent,3.13
27,gimme,3.13
27,pew,3.13
27,guy,3.12
27,claimed,3.12
27,agenda,3.12
27,cases,3.1
27,orange,3.09
27,cap,3.09
27,doesn,3.09
27,whooh,3.06
27,windy,3.06
27,14th,3.06
27,mortal,3.06
27,avocado,3.06
27,gagging,3.06
27,bantz,3.06
27,requested,3.06
27,paparazzi,3.06
27,prude,3.06
27,clicks,3.06
27,rental,3.06
27,irony,3.05
27,glue,3.04
27,electrical,3.04
27,stock,3.03
27,correlation,3.03
27,hiv,3.03
27,somebody,3.02
27,slow,3.01
27,religion,3.01
